bad_A,bad_B,disc1,disc2,fI,fO_A,fO_B,fP_A,fP_B,fRi,fRo,fS,good_A,good_B,no_disc,pick,put,redo_A,redo_B,sI,sO_A,sO_B,sP_A,sP_B,sQ_A,sQ_Ar,sQ_B,sQ_Br,sRi,sRo,sS,test1,test2,turn1,turn2
-37500,-20000,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,30000,20000,-10,-10,-10,-1000,-1000,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
0.3,0.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7,0.9,-1.0,-1.0,-1.0,0.1,0.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
